

/Gem Systems GSM-19T 9088370 v7.0 30 VII 2019 M t-e2t~v7o 
/ID 1 file 22survey.b   26 III24
/datum  52000.00
/ 060.3316903   015.5070749 
/UTC+01
/33V
/GPS datum WGS84 
/000A09BA
/no AC filter
/12.5V
/tune initialize Y auto-tune Y 049.3uT
/115200bps
/time nT sq 
105330.0  51761.92 99 
105335.0  51762.18 99 
105340.0  51762.07 99 
105345.0  51762.02 99 
105350.0  51761.99 99 
105355.0  51761.85 99 
105400.0  51762.06 99 
105405.0  51762.12 99 
105410.0  51762.06 99 
105415.0  51762.18 99 
105420.0  51762.00 99 
105425.0  51762.12 99 
105430.0  51762.16 99 
105435.0  51762.23 99 
105440.0  51762.32 99 
105445.0  51762.29 99 
105450.0  51762.29 99 
105455.0  51762.44 99 
105500.0  51762.41 99 
105505.0  51762.50 99 
105510.0  51762.35 99 
105515.0  51762.24 99 
105520.0  51762.36 99 
105525.0  51762.35 99 
105530.0  51762.20 99 
105535.0  51762.23 99 
105540.0  51762.15 99 
105545.0  51762.21 99 
105550.0  51762.08 99 
105555.0  51761.95 99 
105600.0  51761.94 99 
105605.0  51761.96 99 
105610.0  51761.85 99 
105615.0  51761.98 99 
105620.0  51761.94 99 
105625.0  51761.95 99 
105630.0  51762.01 99 
105635.0  51761.98 99 
105640.0  51762.10 99 
105645.0  51762.10 99 
105650.0  51762.14 99 
105655.0  51762.21 99 
105700.0  51762.16 99 
105705.0  51762.15 99 
105710.0  51762.21 99 
105715.0  51762.04 99 
105720.0  51761.92 99 
105725.0  51761.83 99 
105730.0  51761.85 99 
105735.0  51761.78 99 
105740.0  51761.66 99 
105745.0  51761.68 99 
105750.0  51761.58 99 
105755.0  51761.54 99 
105800.0  51761.55 99 
105805.0  51761.71 99 
105810.0  51761.62 99 
105815.0  51761.81 99 
105820.0  51761.68 99 
105825.0  51761.81 99 
105830.0  51761.79 99 
105835.0  51761.84 99 
105840.0  51761.83 99 
105845.0  51761.69 99 
105850.0  51761.66 99 
105855.0  51761.67 99 
105900.0  51761.55 99 
105905.0  51761.62 99 
105910.0  51761.32 99 
105915.0  51761.04 99 
105920.0  51760.99 99 
105925.0  51760.74 99 
105930.0  51760.83 99 
105935.0  51760.56 99 
105940.0  51760.46 99 
105945.0  51760.44 99 
105950.0  51760.40 99 
105955.0  51760.54 99 
110000.0  51760.66 99 
110005.0  51760.66 99 
110010.0  51760.91 99 
110015.0  51761.02 99 
110020.0  51761.06 99 
110025.0  51761.27 99 
110030.0  51761.16 99 
110035.0  51761.28 99 
110040.0  51761.19 99 
110045.0  51761.05 99 
110050.0  51761.23 99 
110055.0  51760.96 99 
110100.0  51760.89 99 
110105.0  51760.73 99 
110110.0  51760.61 99 
110115.0  51760.40 99 
110120.0  51760.19 99 
110125.0  51760.12 99 
110130.0  51760.22 99 
110135.0  51760.10 99 
110140.0  51760.18 99 
110145.0  51760.14 99 
110150.0  51760.04 99 
110155.0  51760.07 99 
110200.0  51760.07 99 
110205.0  51759.99 99 
110210.0  51760.05 99 
110215.0  51759.93 99 
110220.0  51759.98 99 
110225.0  51759.96 99 
110230.0  51759.76 99 
110235.0  51759.80 99 
110240.0  51759.67 99 
110245.0  51759.47 99 
110250.0  51759.42 99 
110255.0  51759.31 99 
110300.0  51759.17 99 
110305.0  51759.15 99 
110310.0  51759.13 99 
110315.0  51759.17 99 
110320.0  51759.30 99 
110325.0  51759.52 99 
110330.0  51759.65 99 
110335.0  51759.62 99 
110340.0  51759.83 99 
110345.0  51759.94 99 
110350.0  51760.03 99 
110355.0  51760.16 99 
110400.0  51760.01 99 
110405.0  51759.97 99 
110410.0  51759.85 99 
110415.0  51759.78 99 
110420.0  51759.65 99 
110425.0  51759.50 99 
110430.0  51759.54 99 
110435.0  51759.22 99 
110440.0  51759.17 99 
110445.0  51759.16 99 
110450.0  51759.13 99 
110455.0  51759.09 99 
110500.0  51759.26 99 
110505.0  51759.19 99 
110510.0  51759.42 99 
110515.0  51759.38 99 
110520.0  51759.40 99 
110525.0  51759.58 99 
110530.0  51759.55 99 
110535.0  51759.67 99 
110540.0  51759.70 99 
110545.0  51759.59 99 
110550.0  51759.53 99 
110555.0  51759.43 99 
110600.0  51759.23 99 
110605.0  51759.04 99 
110610.0  51759.02 99 
110615.0  51758.77 99 
110620.0  51758.74 99 
110625.0  51758.57 99 
110630.0  51758.44 99 
110635.0  51758.36 99 
110640.0  51758.28 99 
110645.0  51758.22 99 
110650.0  51758.26 99 
110655.0  51758.24 99 
110700.0  51758.35 99 
110705.0  51758.50 99 
110710.0  51758.65 99 
110715.0  51758.75 99 
110720.0  51758.67 99 
110725.0  51758.86 99 
110730.0  51758.79 99 
110735.0  51758.80 99 
110740.0  51758.68 99 
110745.0  51758.61 99 
110750.0  51758.59 99 
110755.0  51758.35 99 
110800.0  51758.40 99 
110805.0  51758.19 99 
110810.0  51758.28 99 
110815.0  51758.18 99 
110820.0  51758.10 99 
110825.0  51758.11 99 
110830.0  51758.15 99 
110835.0  51758.05 99 
110840.0  51758.08 99 
110845.0  51758.09 99 
110850.0  51758.03 99 
110855.0  51758.23 99 
110900.0  51758.38 99 
110905.0  51758.48 99 
110910.0  51758.33 99 
110915.0  51758.26 99 
110920.0  51758.18 99 
110925.0  51758.19 99 
110930.0  51758.14 99 
110935.0  51758.01 99 
110940.0  51757.86 99 
110945.0  51757.85 99 
110950.0  51757.72 99 
110955.0  51757.66 99 
111000.0  51757.55 99 
111005.0  51757.54 99 
111010.0  51757.52 99 
111015.0  51757.56 99 
111020.0  51757.66 99 
111025.0  51757.66 99 
111030.0  51757.44 99 
111035.0  51757.56 99 
111040.0  51757.55 99 
111045.0  51757.55 99 
111050.0  51757.51 99 
111055.0  51757.55 99 
111100.0  51757.33 99 
111105.0  51757.40 99 
111110.0  51757.29 99 
111115.0  51757.13 99 
111120.0  51757.19 99 
111125.0  51757.04 99 
111130.0  51756.94 99 
111135.0  51756.85 99 
111140.0  51756.76 99 
