

/Gem Systems GSM-19T 9088370 v7.0 30 VII 2019 M t-e2t~v7o 
/ID 1 file 07survey.b   15 IV 24
/datum  52000.00
/ 065.2310530   019.7110038 
/UTC+01
/34W
/GPS datum WGS84 
/000510C2
/no AC filter
/12.7V
/tune initialize Y auto-tune Y 051.8uT
/115200bps
/time nT sq 
065205.0  52925.03 99 
065210.0  52925.55 99 
065215.0  52925.99 99 
065220.0  52926.53 99 
065225.0  52926.94 99 
065230.0  52927.11 99 
065235.0  52927.30 99 
065240.0  52927.41 99 
065245.0  52927.59 99 
065250.0  52927.76 99 
065255.0  52927.67 99 
065300.0  52927.67 99 
065305.0  52927.61 99 
065310.0  52927.69 99 
065315.0  52927.64 99 
065320.0  52927.39 99 
065325.0  52927.15 99 
065330.0  52926.90 99 
065335.0  52926.76 99 
065340.0  52926.61 99 
065345.0  52926.43 99 
065350.0  52926.21 99 
065355.0  52925.88 99 
065400.0  52925.73 99 
065405.0  52925.61 99 
065410.0  52925.58 99 
065415.0  52925.60 99 
065420.0  52925.65 99 
065425.0  52925.69 99 
065430.0  52925.95 99 
065435.0  52926.24 99 
065440.0  52926.52 99 
065445.0  52926.79 99 
065450.0  52927.01 99 
065455.0  52927.30 99 
065500.0  52927.59 99 
065505.0  52927.99 99 
065510.0  52928.37 99 
065515.0  52928.90 99 
065520.0  52929.33 99 
065525.0  52929.39 99 
065530.0  52929.33 99 
065535.0  52929.03 99 
065540.0  52928.64 99 
065545.0  52928.07 99 
065550.0  52927.46 99 
065555.0  52926.81 99 
065600.0  52926.59 99 
065605.0  52926.39 99 
065610.0  52926.36 99 
065615.0  52926.37 99 
065620.0  52926.28 99 
065625.0  52926.35 99 
065630.0  52926.43 99 
065635.0  52926.51 99 
065640.0  52926.78 99 
065645.0  52927.10 99 
065650.0  52927.59 99 
065655.0  52927.76 99 
065700.0  52927.88 99 
065705.0  52927.87 99 
065710.0  52927.92 99 
065715.0  52927.86 99 
065720.0  52927.63 99 
065725.0  52927.61 99 
065730.0  52927.57 99 
065735.0  52927.67 99 
065740.0  52927.71 99 
065745.0  52927.62 99 
065750.0  52927.36 99 
065755.0  52927.10 99 
065800.0  52927.00 99 
065805.0  52926.97 99 
065810.0  52927.06 99 
065815.0  52927.17 99 
065820.0  52927.21 99 
065825.0  52927.05 99 
065830.0  52926.81 99 
065835.0  52926.49 99 
065840.0  52926.29 99 
065845.0  52926.24 99 
065850.0  52926.23 99 
065855.0  52926.12 99 
065900.0  52926.09 99 
065905.0  52926.13 99 
065910.0  52926.24 99 
065915.0  52926.56 99 
065920.0  52926.76 99 
065925.0  52926.87 99 
065930.0  52926.90 99 
065935.0  52926.99 99 
065940.0  52927.07 99 
065945.0  52927.12 99 
065950.0  52927.08 99 
065955.0  52926.88 99 
070000.0  52926.71 99 
070005.0  52926.46 99 
070010.0  52926.31 99 
070015.0  52926.31 99 
070020.0  52926.28 99 
070025.0  52926.45 99 
070030.0  52926.68 99 
070035.0  52926.90 99 
070040.0  52927.31 99 
070045.0  52927.77 99 
070050.0  52928.43 99 
070055.0  52928.80 99 
070100.0  52928.85 99 
070105.0  52928.68 99 
070110.0  52928.64 99 
070115.0  52928.71 99 
070120.0  52928.57 99 
070125.0  52928.25 99 
070130.0  52927.80 99 
070135.0  52927.30 99 
070140.0  52926.86 99 
070145.0  52926.54 99 
070150.0  52926.49 99 
070155.0  52926.53 99 
070200.0  52926.56 99 
070205.0  52926.68 99 
070210.0  52926.57 99 
070215.0  52926.40 99 
070220.0  52926.33 99 
070225.0  52926.45 99 
070230.0  52926.57 99 
070235.0  52926.64 99 
070240.0  52926.56 99 
070245.0  52926.38 99 
070250.0  52925.91 99 
070255.0  52925.55 99 
070300.0  52925.41 99 
070305.0  52925.49 99 
070310.0  52926.04 99 
070315.0  52926.75 99 
070320.0  52927.28 99 
070325.0  52927.61 99 
070330.0  52927.64 99 
070335.0  52927.68 99 
070340.0  52927.57 99 
070345.0  52927.71 99 
070350.0  52927.91 99 
070355.0  52928.17 99 
070400.0  52928.23 99 
070405.0  52928.01 99 
070410.0  52927.55 99 
070415.0  52927.26 99 
070420.0  52926.99 99 
070425.0  52926.79 99 
070430.0  52926.68 99 
070435.0  52926.62 99 
070440.0  52926.61 99 
070445.0  52926.59 99 
070450.0  52926.46 99 
070455.0  52926.17 99 
070500.0  52926.01 99 
070505.0  52926.06 99 
070510.0  52926.08 99 
070515.0  52925.99 99 
070520.0  52925.91 99 
070525.0  52925.91 99 
070530.0  52925.83 99 
070535.0  52925.62 99 
070540.0  52925.33 99 
070545.0  52925.22 99 
